Price,Area,Location,bhk,Lift,Parking,price_per_sqft,location_n
37800000,1650,Andheri West,3,1,0,22909.090909090908,7
25500000,1200,Andheri West,2,1,1,21250.0,7
70000000,2400,Andheri West,4,1,0,29166.666666666668,7
36800000,1600,Andheri West,3,1,0,23000.0,7
42500000,1850,Andheri West,3,1,0,22972.972972972973,7
38000000,1850,Andheri West,3,1,1,20540.54054054054,7
37000000,1650,Andheri West,3,1,0,22424.242424242424,7
28000000,1250,Andheri West,2,1,1,22400.0,7
43000000,1950,Andheri West,4,1,0,22051.28205128205,7
40000000,1500,Andheri West,3,1,0,26666.666666666668,7
21700000,954,Andheri West,2,1,0,22746.331236897273,7
27799999,1274,Andheri West,3,1,0,21821.035321821037,7
22000000,985,Andheri West,3,1,0,22335.02538071066,7
16000000,650,Andheri West,1,1,0,24615.384615384617,7
19500000,1000,Andheri West,2,1,0,19500.0,7
15000000,650,Andheri West,1,0,0,23076.923076923078,7
15000000,650,Andheri West,1,0,0,23076.923076923078,7
30000000,1195,Andheri West,2,1,0,25104.602510460252,7
46500000,1250,Andheri West,3,1,1,37200.0,7
33500000,912,Andheri West,2,1,0,36732.45614035088,7
24000000,660,Andheri West,2,0,0,36363.63636363636,7
22500000,1050,Andheri West,2,1,0,21428.571428571428,7
50000000,2300,Andheri West,3,1,1,21739.130434782608,7
80000000,2590,Andheri West,5,1,0,30888.030888030888,7
40000000,1295,Andheri West,3,0,0,30888.030888030888,7
26000000,1200,Andheri West,3,1,0,21666.666666666668,7
22500000,1040,Andheri West,2,0,0,21634.615384615383,7
23000000,950,Andheri West,2,1,0,24210.526315789473,7
23500000,1100,Andheri West,2,0,0,21363.636363636364,7
22500000,768,Andheri West,2,0,0,29296.875,7
22500000,768,Andheri West,2,1,0,29296.875,7
22000000,1200,Andheri West,3,1,1,18333.333333333332,7
4554000,550,Anjurdive,1,1,1,8280.0,8
27500000,1250,Antop Hill,3,1,1,22000.0,9
20500000,1000,Antop Hill,2,1,1,20500.0,9
12800000,700,Antop Hill,1,1,1,18285.714285714286,9
2005000,575,Badlapur,1,1,1,3486.9565217391305,10
2170000,505,Badlapur,1,1,1,4297.029702970297,10
2625000,675,Badlapur,1,1,1,3888.8888888888887,10
2164000,571,Badlapur,1,1,1,3789.84238178634,10
2534000,642,Badlapur,1,1,1,3947.0404984423676,10
2865000,675,Badlapur East,1,1,1,4244.444444444444,11
2600000,500,Badlapur East,1,1,1,5200.0,11
2565000,675,Badlapur East,1,1,1,3800.0,11
3797999,910,Badlapur East,2,1,0,4173.625274725275,11
3300000,920,Badlapur East,2,1,1,3586.9565217391305,11
2600000,660,Badlapur East,1,1,1,3939.3939393939395,11
2650000,660,Badlapur East,1,1,1,4015.151515151515,11
3750000,1050,Badlapur East,2,1,0,3571.4285714285716,11
2815000,710,Badlapur East,1,1,0,3964.788732394366,11
3615000,1040,Badlapur East,2,1,0,3475.9615384615386,11
3700000,1025,Badlapur East,2,0,0,3609.756097560976,11
3700000,1025,Badlapur East,2,1,0,3609.756097560976,11
2750000,730,Badlapur East,1,1,0,3767.123287671233,11
2250000,610,Badlapur East,1,1,0,3688.5245901639346,11
2250000,655,Badlapur East,1,1,0,3435.114503816794,11
3100000,920,Badlapur East,2,1,0,3369.5652173913045,11
2399000,700,Badlapur East,1,1,1,3427.1428571428573,11
